codigo,producto,stock,caducidad,icono
4Q,MEZCLA 4 QUESOS,0,,
5Q,MEZCLA 5 QUESOS,0,,
5QGO,MEZCLA 5 QUESOS GOURMET,0,,
7UP50,PET 7UP ZERO 500ML,0,,
ABRG,SALSA AMERICAN BURGER 220ML,0,,
ACE,ACEITE DE OLIVA AJO (TP),0,,
ACOSP,ACEITE OLIVA SPRAY,0,,
AEG,ALITAS ENVASE GRANDE,0,,
AF15,BOTELLA AGUA 1,0,,
AF50,BOTELLA AGUA 0,0,,
AGLA,ZZ AZUCAR GLASS 250 GR,0,,
AN,ACEITUNAS NEGRAS,0,,
ANCA,PET AQUARADE NARANJA ZERO 1.50,0,,
APRE,ME ALITAS DE POLLO PREFRITA,0,,
AQL33,LATA AQUARADE LIMON ZERO,0,,
AQL50,PET AQUARADE LIMON ZERO 500ML,0,,
AQN33,LATA AQUARADE NARANJA ZERO,0,,
AQN50,PET AQUARADE NARANJA ZERO 500M,0,,
ARCEB,AROS DE CEBOLLA,0,,
AT,ATUN,0,,
ATN,ALITAS DE POLLO NORMAL,0,,
AZNE,AZUCAR 8 GR NESPRESSO,0,,
BA,BACON FRANQUI,0,,
BBQH,ME SALSA BBQ HONEY 32X45GR,0,,
BCC,BARRIL CRUZCAMPO,0,,
BCHE,BORDE QUESO CLASICO 6KG,0,,
BCHI,YY BORDE QUESO PICANTON 6KG,0,,
BCK,BARRIL HEINEKEN,0,,
BCRY5,BACON CRISPY,0,,
BDOS05,BOTELLA DOSIFICADOR 0,0,,
BDOS1,BOTELLA DOSIFICADOR 1L,0,,
BEBR,BERENJENA BRASEADA,0,,
BF,BOLA FAMILIAR,0,,
BFM28,BASE FINA MEDIANA 280 MM,0,,
BITA,BORDE QUESO MEDITERRANEO 6KG,0,,
BKME,ZZ BOLA CACAO MEDIANA,0,,
BLOO,ME SALSA BLOODY ONION,0,,
BLSCMP,BOLSA COMPLEMENTOS,0,,
BM,BOLA MEDIANA,0,,
BP,BOLA PEQUEÑA,0,,
BPAD,BOLSA PAPEL DOMICILIO,0,,
BPAT,ME BOLSA PATATAS MENEO,0,,
BPDM,ME BOLSA PAPEL DOMICILIO MENEO,0,,
BQCH6,YY BORDE QUESO CHORIZO 6KG,0,,
BSA,BOLA SUPER AHORRO,0,,
C250,MP - CEBOLLA CORTADA 250 GR,0,,
CA,CARNE,0,,
CACHA,CAJA COMBO HAMBURGUESA,0,,
CACOO,CAJA COOKIE 2025,0,,
CAFF2,CAFE INTENSO,0,,
CAJU,ME SAZONADOR CAJUN APIO,0,,
CAKE,CAJA COMBO 2025,0,,
CASA,CAJA SANDWICH 2022,0,,
CC1S,CAJA COMPLEMENTOS 1 SALSA,0,,
CCARM,CEBOLLA CARAMELIZADA MORENO,0,,
CCHME,ME CAJA COMBO HAMBURGUESA MENEO,0,,
CCPOPS,POPS POLLO,0,,
CCRT,ME CRUNCHY CEBOLLA CRISPY TARR,0,,
CEN,CEBOLLA CONGELADA,0,,
CETQPZ,CELIACOS ETIQUETA PIZZAS,0,,
CF,CAJA FAMILIAR,0,,
CH,CHAMPIÑON,0,,
CHB4,TARRINA CHOCOLATE BELGA 460 ML,0,,
CHB9,TARRINA CHOCOLATE BELGA 95 ML,0,,
CHMI,ME CAJA HEXAGONAL MINI,0,,
CHMX,ME CAJA HEXAGONAL MAXI,0,,
CHORI,CHORIZO,0,,
CHUN,ME CHUNKS DE POLLO 6X1KG,0,,
CM,CAJA MEDIANA SIN ESQUINAS,0,,
CMI2,CAJA MENU INFANTIL 2020,0,,
CMIC,CAJA PIZZA INFANTIL,0,,
CNES,CAPSULAS NESPRESSO 50 UDS,0,,
CNO,YY CERDO NUEVA ORLEANS,0,,
COC4,TARRINA COOKIES&CREAM 460 ML,0,,
COC9,TARRINA COOKIE&CREAM 95 ML,0,,
COMCH,ME COPITA MULTICAPA CHOCOLATE,0,,
CONTO,CONCENTRADO DE TOMATE,0,,
COTCH,COOKIE TRIPLE CHOCOLATE,0,,
CP,CAJA PEQUEÑA,0,,
CPBBQ,CELIACOS PIZZA BARBACOA,0,,
CPCAR,CELIACOS PIZZA CARBONARA,0,,
CPGR,CHEETOS PANDILLA B.GRANDE 75GR,0,,
CPPQ,CHEETOS PANDILLA B.PEQ 31GR,0,,
CPZ2,ZZ CAJA SWEET PIZZOLINOS,0,,
CPZJB,CELIACOS PIZZA YORK BACON,0,,
CR,NATA DE LUXTOR,0,,
CRBC,ME CRUNCHY BACON 500GR,0,,
CRCH,ME CRUNCHY SPICY CHICKEN 500GR,0,,
CRCM,ME CRUNCHY MANGO 500GR,0,,
CRIS,CRISTALINO,0,,
